ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,year,times_listened
2022-06-30T21:42:19Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",269360,IN,106.202.180.190,unknown,Sky is Tumbling (feat. Cise Star),Nujabes,Spiritual State,spotify:track:3vEAOJD6HXhKiEq6ALYFVd,,,,trackdone,trackdone,True,,False,1656625069409,False,2022,1.0
2022-06-30T21:46:31Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",250826,IN,106.202.180.190,unknown,rebirth and karma,my dead girlfriend,shaman's daughter,spotify:track:27tLxH76IUICEvyG4zgiU2,,,,trackdone,trackdone,True,,False,1656625339297,False,2022,1.0
2022-06-30T21:48:40Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",128800,IN,106.202.180.190,unknown,Body Double,Reptilian God Mana,Body Double,spotify:track:6EuFzHlO4YJhHwNMBFZNDT,,,,trackdone,trackdone,True,,False,1656625590730,False,2022,1.0
2022-06-30T21:52:30Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",229353,IN,106.202.180.190,unknown,Play Em Like Atari,Drain Gang Archive,Play Em Like Atari,spotify:track:34uzB2MBbxtrXMhYPUfz2g,,,,trackdone,trackdone,True,,False,1656625719952,False,2022,1.0
2022-06-30T21:56:35Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",244442,IN,106.202.180.190,unknown,Solid Liquid Gas,Eartheater,Trinity,spotify:track:5ZphONN5x6VG5gRTSQyoPu,,,,trackdone,trackdone,True,,False,1656625949799,False,2022,1.0
2022-06-30T22:00:44Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",248934,IN,106.202.180.190,unknown,Norman fucking Rockwell,Lana Del Rey,Norman Fucking Rockwell!,spotify:track:3RIgHHpnFKj5Rni1shokDj,,,,trackdone,trackdone,True,,False,1656626194746,False,2022,1.0
2022-06-30T22:04:45Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",240373,IN,106.202.180.190,unknown,Caribbean Blue,Enya,"Themes From ""Calmi Cuori Appassionati""",spotify:track:6qNQcYitWE3mY2WDaTv6Kc,,,,trackdone,trackdone,True,,False,1656626444106,False,2022,1.0
2022-06-30T22:08:05Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",198967,IN,106.202.180.190,unknown,Call For Help,Pearly Drops,Call For Help,spotify:track:3l5qctI4FqhfjIZzs06cbk,,,,trackdone,trackdone,True,,False,1656626685063,False,2022,1.0
2022-06-30T22:09:57Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",111640,IN,106.202.180.190,unknown,Stargirl Interlude,The Weeknd,Starboy,spotify:track:4EDijkJdHBZZ0GwJ12iTAj,,,,trackdone,trackdone,True,,False,1656626884623,False,2022,1.0
2022-06-30T22:11:35Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",97951,IN,106.202.180.190,unknown,9SlutTortureChamber,Gorejit,Target Practice,spotify:track:4ObO5i8xnlRwMHFoWYn20K,,,,trackdone,trackdone,True,,False,1656626996714,False,2022,1.0
2022-06-30T22:15:21Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",225653,IN,106.202.180.190,unknown,oh my love,FKA twigs,CAPRISONGS,spotify:track:5dEJc0rHuTVxtl1xljDbRv,,,,trackdone,trackdone,True,,False,1656627095337,False,2022,1.0
2022-06-30T22:56:42Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",237669,IN,106.202.180.190,unknown,LIL BIT,Ta-Ra,LIL BIT,spotify:track:1JcNavsePK4yMbcjVL12vf,,,,trackdone,trackdone,True,,False,1656627321420,False,2022,1.0
